grupo,tempo_em_dias,n_risco,n_evento,n_censura,survival_prob,hazard_step,tempo_anos,n_inicial,tempo_max_dias
GERAL,11954,2195043,336,709,0.22171797007352337,0.00015307217216245877,32.72826830937714,67175202,49086
GERAL,11955,2193998,360,758,0.22168158969887103,0.00016408401466181828,32.73100616016427,67175202,49086
GERAL,11956,2192880,383,4,0.22164287164368576,0.0001746561599357922,32.733744010951405,67175202,49086
GERAL,11957,2192493,306,13,0.22161193757971248,0.00013956715027140337,32.73648186173853,67175202,49086
GERAL,11958,2192174,296,731,0.22158201425541268,0.0001350257780632377,32.73921971252567,67175202,49086
GERAL,11959,2191147,113,796,0.22157058701314603,5.157116341349987e-05,32.7419575633128,67175202,49086
GERAL,11960,2190238,113,689,0.2215591556178673,5.159256665257383e-05,32.74469541409993,67175202,49086
GERAL,11961,2189436,369,768,0.22152181480113503,0.00016853655461954585,32.747433264887064,67175202,49086
GERAL,11962,2188299,378,692,0.22148354980809942,0.0001727369066110253,32.7501711156742,67175202,49086
GERAL,11963,2187229,329,10,0.22145023455492435,0.00015041863472000416,32.75290896646133,67175202,49086
GERAL,11964,2186890,307,11,0.22141914692728495,0.00014038200366730836,32.75564681724846,67175202,49086
GERAL,11965,2186572,272,663,0.22139160335315877,0.00012439562932297678,32.75838466803559,67175202,49086
GERAL,11966,2185637,102,13,0.2213812713796691,4.666831683394818e-05,32.761122518822724,67175202,49086
GERAL,11967,2185522,113,799,0.22136982510565956,5.170389499625261e-05,32.76386036960986,67175202,49086
GERAL,11968,2184610,305,764,0.2213389189958014,0.00013961302017293704,32.766598220396986,67175202,49086
GERAL,11969,2183541,340,713,0.2213044542284998,0.000155710380524112,32.76933607118412,67175202,49086
GERAL,11970,2182488,322,9,0.22127180340326658,0.00014753803915531266,32.772073921971256,67175202,49086
GERAL,11971,2182157,252,7,0.22124625047812985,0.00011548206659740797,32.77481177275838,67175202,49086
GERAL,11972,2181898,219,651,0.22122404369813614,0.00010037132808224765,32.77754962354552,67175202,49086
GERAL,11973,2181028,91,636,0.22121481346909894,4.1723444174031696e-05,32.780287474332646,67175202,49086
GERAL,11974,2180301,97,672,0.22120497178352136,4.448927005950096e-05,32.78302532511978,67175202,49086
GERAL,11975,2179532,281,1000,0.22117645254311968,0.0001289267604237974,32.785763175906915,67175202,49086
GERAL,11976,2178251,310,720,0.22114497559198396,0.0001423160140865309,32.78850102669404,67175202,49086
GERAL,11977,2177221,346,3,0.2211098316348226,0.000158918180561367,32.79123887748118,67175202,49086
GERAL,11978,2176872,301,3,0.22107925838140113,0.0001382717954937176,32.79397672826831,67175202,49086
GERAL,11979,2176568,255,652,0.22105335741672313,0.00011715691859845409,32.79671457905544,67175202,49086
GERAL,11980,2175661,103,687,0.2210428923232118,4.734193424435149e-05,32.799452429842574,67175202,49086
GERAL,11981,2174871,112,733,0.22103150920948222,5.1497307196610745e-05,32.80219028062971,67175202,49086
GERAL,11982,2174026,264,744,0.22100466853764514,0.00012143369030545173,32.80492813141684,67175202,49086
GERAL,11983,2173018,292,701,0.22097497096348193,0.00013437532500881264,32.80766598220397,67175202,49086
GERAL,11984,2172025,365,8,0.22093783701502293,0.00016804594790575616,32.8104038329911,67175202,49086
GERAL,11985,2171652,284,6,0.22090894364457855,0.00013077601752030252,32.813141683778234,67175202,49086
GERAL,11986,2171362,251,612,0.22088340753182775,0.00011559564918240257,32.81587953456537,67175202,49086
GERAL,11987,2170499,99,657,0.22087333267929585,4.561163124240094e-05,32.818617385352496,67175202,49086
GERAL,11988,2169743,99,694,0.22086325477609015,4.562752362837442e-05,32.82135523613963,67175202,49086
GERAL,11989,2168950,313,671,0.22083138211939224,0.0001443094584937412,32.824093086926766,67175202,49086
GERAL,11990,2167966,293,680,0.22080153681971457,0.00013514972098270913,32.82683093771389,67175202,49086
GERAL,11991,2166993,268,8,0.22077422948098865,0.00012367368053334737,32.82956878850103,67175202,49086
GERAL,11992,2166717,94,15,0.22076465149845967,4.338360755003999e-05,32.832306639288156,67175202,49086
GERAL,11993,2166608,68,651,0.22075772269717125,3.138546520644251e-05,32.83504449007529,67175202,49086
GERAL,11994,2165889,66,660,0.22075099566282277,3.0472475736291194e-05,32.837782340862425,67175202,49086
GERAL,11995,2165163,64,680,0.22074447048955756,2.955897546743594e-05,32.84052019164955,67175202,49086
GERAL,11996,2164419,282,751,0.22071570991192538,0.00013028900596418716,32.84325804243669,67175202,49086
GERAL,11997,2163386,271,665,0.2206880616062665,0.00012526659597501325,32.84599589322382,67175202,49086
GERAL,11998,2162450,358,4,0.22065152604426272,0.00016555296076209856,32.84873374401095,67175202,49086
GERAL,11999,2162088,289,5,0.2206220321980239,0.000133667084781008,32.851471594798085,67175202,49086
GERAL,12000,2161794,263,683,0.22059519171531922,0.00012165821535261917,32.85420944558521,67175202,49086
GERAL,12001,2160848,100,764,0.2205849829828348,4.6278127846104864e-05,32.85694729637235,67175202,49086
GERAL,12002,2159984,90,633,0.2205757918737949,4.166697531092823e-05,32.85968514715948,67175202,49086
GERAL,12003,2159261,303,783,0.2205448394021216,0.00014032578738744413,32.86242299794661,67175202,49086
GERAL,12004,2158175,332,735,0.2205109121781099,0.0001538336789185307,32.865160848733744,67175202,49086
GERAL,12005,2157108,425,5,0.2204674664453623,0.00019702305123341066,32.86789869952088,67175202,49086
GERAL,12006,2156678,335,71,0.22043322090603784,0.000155331486666067,32.87063655030801,67175202,49086
GERAL,12007,2156272,259,646,0.22040674363219917,0.0001201147165107185,32.87337440109514,67175202,49086
GERAL,12008,2155367,87,881,0.2203978470560263,4.036435558306312e-05,32.876112251882276,67175202,49086
GERAL,12009,2154399,83,637,0.22038935604702303,3.8525825531853666e-05,32.878850102669404,67175202,49086
GERAL,12010,2153679,314,794,0.22035722393364923,0.00014579702917658574,32.88158795345654,67175202,49086
GERAL,12011,2152571,336,720,0.2203228278430015,0.00015609241228280044,32.884325804243666,67175202,49086
GERAL,12012,2151515,306,6,0.22029149234902634,0.00014222536212854663,32.8870636550308,67175202,49086
GERAL,12013,2151203,262,9,0.220264662537523,0.00012179231806575204,32.889801505817935,67175202,49086
GERAL,12014,2150932,220,734,0.2202421335939031,0.00010228124366553662,32.89253935660506,67175202,49086
GERAL,12015,2149978,92,802,0.2202327091829135,4.2791135537200845e-05,32.8952772073922,67175202,49086
GERAL,12016,2149084,107,2,0.22022174409272505,4.978865414288134e-05,32.89801505817933,67175202,49086
GERAL,12017,2148975,309,776,0.22019007852243005,0.00014378948103165463,32.90075290896646,67175202,49086
GERAL,12018,2147890,279,729,0.22016147694976676,0.00012989492013091918,32.903490759753595,67175202,49086
GERAL,12019,2146882,330,7,0.22012763564531063,0.00015371128920918802,32.90622861054072,67175202,49086
GERAL,12020,2146545,253,8,0.2201016905606195,0.0001178638230272368,32.90896646132786,67175202,49086
GERAL,12021,2146284,212,718,0.22007994993430963,9.877537175881663e-05,32.91170431211499,67175202,49086
GERAL,12022,2145354,108,840,0.22006887081422366,5.034134226798934e-05,32.91444216290212,67175202,49086
GERAL,12023,2144406,98,706,0.22005881360055246,4.570030115565802e-05,32.917180013689254,67175202,49086
GERAL,12024,2143602,260,779,0.2200321224090271,0.00012129117252176477,32.91991786447639,67175202,49086
GERAL,12025,2142563,281,546,0.22000326490220143,0.00013115133604006042,32.92265571526352,67175202,49086
GERAL,12026,2141736,329,10,0.2199694693857826,0.00015361370402327832,32.92539356605065,67175202,49086
GERAL,12027,2141397,283,9,0.2199403989425924,0.00013215671825448527,32.92813141683778,67175202,49086
GERAL,12028,2141105,224,3,0.21991738902511374,0.00010461887670151627,32.930869267624914,67175202,49086
GERAL,12029,2140878,78,51,0.21990937663190685,3.6433650119250136e-05,32.93360711841205,67175202,49086
GERAL,12030,2140749,82,734,0.21990095314606903,3.830435048667546e-05,32.936344969199176,67175202,49086
GERAL,12031,2139933,262,730,0.2198740298500012,0.00012243373974792668,32.93908281998631,67175202,49086
GERAL,12032,2138941,273,709,0.2198459666120956,0.00012763325402617462,32.941820670773446,67175202,49086
GERAL,12033,2137959,318,6,0.219813266725249,0.0001487399898688422,32.94455852156057,67175202,49086
GERAL,12034,2137635,283,34,0.2197841658008708,0.00013238929938927832,32.94729637234771,67175202,49086
GERAL,12035,2137318,225,641,0.21976102865548333,0.00010527212141571821,32.95003422313484,67175202,49086
GERAL,12036,2136452,84,933,0.21975238819625137,3.931752269650804e-05,32.95277207392197,67175202,49086
GERAL,12037,2135435,92,773,0.21974292070147206,4.308255694975497e-05,32.955509924709105,67175202,49086
GERAL,12038,2134570,230,766,0.21971924339327353,0.00010775003864947039,32.95824777549623,67175202,49086
GERAL,12039,2133574,242,838,0.219694321803068,0.00011342470427554892,32.96098562628337,67175202,49086
GERAL,12040,2132494,247,10,0.21966887530826645,0.00011582682061473561,32.9637234770705,67175202,49086
GERAL,12041,2132237,263,6,0.21964178033045392,0.00012334463758015643,32.96646132785763,67175202,49086
GERAL,12042,2131968,229,819,0.21961818805904287,0.00010741249399615755,32.969199178644764,67175202,49086
GERAL,12043,2130920,91,811,0.2196088093610564,4.2704559532971676e-05,32.9719370294319,67175202,49086
GERAL,12044,2130018,107,850,0.21959777746245196,5.0234317268680356e-05,32.97467488021903,67175202,49086
GERAL,12045,2129061,417,892,0.2195547668238644,0.00019586099224024113,32.97741273100616,67175202,49086
GERAL,12046,2127752,302,802,0.21952360457394957,0.00014193383439423392,32.98015058179329,67175202,49086
GERAL,12047,2126648,323,11,0.2194902628435469,0.00015188221087833998,32.982888432580424,67175202,49086
GERAL,12048,2126314,275,33,0.21946187577452417,0.00012933179201190417,32.98562628336756,67175202,49086
GERAL,12049,2126006,218,690,0.21943937222142093,0.00010253969179767132,32.988364134154686,67175202,49086
GERAL,12050,2125098,84,925,0.2194306983121393,3.952758884531443e-05,32.99110198494182,67175202,49086
GERAL,12051,2124089,120,851,0.2194183016169926,5.6494807891759715e-05,32.993839835728956,67175202,49086
GERAL,12052,2123118,247,773,0.21939277485847075,0.00011633832881639174,32.99657768651608,67175202,49086
GERAL,12053,2122098,1310,774,0.219257340710253,0.0006173136207658647,32.99931553730322,67175202,49086
GERAL,12054,2120014,200,13,0.21923665619206487,9.433899964811554e-05,33.002053388090346,67175202,49086
GERAL,12055,2119801,161,14,0.21922000505280842,7.59505255446148e-05,33.00479123887748,67175202,49086
GERAL,12056,2119626,160,686,0.21920345722748052,7.548501480921634e-05,33.007529089664615,67175202,49086
GERAL,12057,2118780,88,795,0.21919435297680986,4.153333522121221e-05,33.01026694045174,67175202,49086
GERAL,12058,2117897,90,741,0.21918503831619704,4.249498441142322e-05,33.01300479123888,67175202,49086
GERAL,12059,2117066,167,832,0.2191677483963746,7.888275566278992e-05,33.01574264202601,67175202,49086
GERAL,12060,2116067,110,678,0.21915635534864805,5.198323115477913e-05,33.01848049281314,67175202,49086
GERAL,12061,2115279,156,5,0.2191401927566522,7.37491366387129e-05,33.021218343600275,67175202,49086
GERAL,12062,2115118,242,12,0.2191151199585165,0.00011441442037749194,33.02395619438741,67175202,49086
GERAL,12063,2114864,161,752,0.21909843920064587,7.612782665930291e-05,33.02669404517454,67175202,49086
GERAL,12064,2113951,91,740,0.21908900759226552,4.304735540227754e-05,33.02943189596167,67175202,49086
GERAL,12065,2113120,144,706,0.21907407762279227,6.814568032104187e-05,33.0321697467488,67175202,49086
GERAL,12066,2112270,191,742,0.219054268058283,9.042404616834022e-05,33.034907597535934,67175202,49086
GERAL,12067,2111337,257,1089,0.21902760393650095,0.00012172381765677389,33.03764544832307,67175202,49086
GERAL,12068,2109991,246,33,0.21900206790787882,0.00011658817502065174,33.040383299110196,67175202,49086
GERAL,12069,2109712,216,3,0.2189796456783669,0.00010238364288585361,33.04312114989733,67175202,49086
GERAL,12070,2109493,189,674,0.21896002619964228,8.959498799000518e-05,33.045859000684466,67175202,49086
GERAL,12071,2108630,94,772,0.21895026524467967,4.457870750202738e-05,33.04859685147159,67175202,49086
GERAL,12072,2107764,103,271,0.21893956581280768,4.886695094896772e-05,33.05133470225873,67175202,49086
GERAL,12073,2107390,201,4,0.21891868365396266,9.537864372517665e-05,33.054072553045856,67175202,49086
GERAL,12074,2107185,266,13,0.21889104850571894,0.0001262347634403244,33.05681040383299,67175202,49086
GERAL,12075,2106906,276,4,0.21886237426520344,0.00013099777588558768,33.059548254620125,67175202,49086
GERAL,12076,2106626,246,21,0.21883681674143354,0.00011677440608821879,33.06228610540725,67175202,49086
GERAL,12077,2106359,123,599,0.21882403785214677,5.839460414867551e-05,33.06502395619439,67175202,49086
GERAL,12078,2105637,100,693,0.21881364555576083,4.7491566685045904e-05,33.06776180698152,67175202,49086
GERAL,12079,2104844,98,673,0.2188034577521685,4.6559269950647176e-05,33.07049965776865,67175202,49086
GERAL,12080,2104073,252,886,0.21877725216360122,0.00011976770767934383,33.073237508555785,67175202,49086
GERAL,12081,2102935,281,794,0.21874801854113643,0.00013362277008086316,33.07597535934291,67175202,49086
GERAL,12082,2101860,308,5,0.2187159638896798,0.00014653687686144652,33.07871321013005,67175202,49086
GERAL,12083,2101547,231,3,0.218691922843889,0.0001099190263172796,33.08145106091718,67175202,49086
GERAL,12084,2101313,197,696,0.21867142027773143,9.375090717089743e-05,33.08418891170431,67175202,49086
GERAL,12085,2100420,102,786,0.2186608012182727,4.8561716228182934e-05,33.086926762491444,67175202,49086
GERAL,12086,2099532,89,793,0.21865153209957938,4.239039938424373e-05,33.08966461327858,67175202,49086
GERAL,12087,2098650,191,655,0.21863163242949096,9.101088795177852e-05,33.09240246406571,67175202,49086
GERAL,12088,2097804,214,726,0.2186093295025541,0.00010201143672144777,33.09514031485284,67175202,49086
GERAL,12089,2096864,280,3,0.21858013799930892,0.0001335327422283944,33.097878165639976,67175202,49086
GERAL,12090,2096581,233,4,0.21855584646363546,0.00011113331657589189,33.100616016427104,67175202,49086
GERAL,12091,2096344,217,643,0.21853322297308114,0.00010351354548680942,33.10335386721424,67175202,49086
GERAL,12092,2095484,86,584,0.2185242542302152,4.1040637866955795e-05,33.106091718001366,67175202,49086
GERAL,12093,2094814,52,794,0.21851882975757944,2.4823206260794515e-05,33.1088295687885,67175202,49086
GERAL,12094,2093968,225,597,0.21849534958181008,0.00010745149878126122,33.111567419575636,67175202,49086
GERAL,12095,2093146,248,1034,0.21846946182878363,0.0001184819405813068,33.11430527036276,67175202,49086
GERAL,12096,2091864,303,5,0.21843781720612454,0.0001448468925322105,33.1170431211499,67175202,49086
GERAL,12097,2091556,252,25,0.21841149884317565,0.00012048446228549463,33.11978097193703,67175202,49086
GERAL,12098,2091279,203,766,0.21839029768624482,9.706978361089075e-05,33.12251882272416,67175202,49086
GERAL,12099,2090310,58,760,0.21838423799305778,2.77470805765652e-05,33.125256673511295,67175202,49086
GERAL,12100,2089492,62,758,0.21837775803393109,2.9672283980986767e-05,33.12799452429842,67175202,49086
GERAL,12101,2088672,245,688,0.21835214245105433,0.00011729941321567006,33.13073237508556,67175202,49086
GERAL,12102,2087739,262,501,0.21832474043321487,0.00012549461402981885,33.13347022587269,67175202,49086
GERAL,12103,2086976,282,11,0.21829523957800515,0.00013512373884510412,33.13620807665982,67175202,49086
